"linha","tipo","marca","modelo","nome","descricao","tem_pdf","pdf_url"
"34","Trator Agrícola","CASE","FARMALL 110A CAB","FOLHETO TECNICO DOS TRATORES CASE MODELOS 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0de-7512-bc71-9d796d7eb3b3/019e17a5-c9fa-77d0-9b30-c650874f4af3.pdf"
"35","Trator Agrícola","CASE","FARMALL 110A CAB","MANUAL DO OPERADOR PARA OS TRATORES CASE IH FARMALL 110 - 120A E 130A","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0de-7512-bc71-9d796d7eb3b3/019e17a5-cb25-7f4b-9417-5666e6ddb317.pdf"
"36","Trator Agrícola","CASE","FARMALL 110C MECH CAB","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ae-74f3-7f17-904b-eef1030659ca/019e17a6-a3ee-7f3d-81db-94ebb0e9e9fa.pdf"
"37","Trator Agrícola","CASE","FARMALL 110C MECH CAB","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ae-74f3-7f17-904b-eef1030659ca/019e17a6-a4c2-7e25-ae81-96e3bbfb9e3d.pdf"
"38","Trator Agrícola","CASE","FARMALL 110C MECH CAB","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 80 - 90 - 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ae-74f3-7f17-904b-eef1030659ca/019e17a6-a440-7169-bd31-00dfed0e93de.pdf"
"39","Trator Agrícola","CASE","FARMALL 110C MECH CAB","FOLHETO TECNICO DOS TRATORES CASE MODELOS 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ae-74f3-7f17-904b-eef1030659ca/019e17a6-a58b-777c-a354-c82dc305e966.pdf"
"40","Trator Agrícola","CASE","FARMALL 110C MECH CAB","FOLHETO TECNICO DOS TRATORES CASE MODELOS 80 – 90 – 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ae-74f3-7f17-904b-eef1030659ca/019e17a6-a4d6-7b4f-8a50-1153f86bc370.pdf"
"41","Trator Agrícola","CASE","FARMALL 110C MECH PLAT","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ae-fed3-7d7e-83d5-c4b1ada11997/019e17a7-4624-7b24-b840-0df44e211157.pdf"
"42","Trator Agrícola","CASE","FARMALL 110C MECH PLAT","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ae-fed3-7d7e-83d5-c4b1ada11997/019e17a7-4695-7030-82e5-b51bc15e03f8.pdf"
"43","Trator Agrícola","CASE","FARMALL 110C MECH PLAT","FOLHETO TECNICO DOS TRATORES CASE MODELOS 100 E 110","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2ae-fed3-7d7e-83d5-c4b1ada11997/019e17a7-46b3-7cee-8349-2b792585060b.pdf"
