"linha","tipo","marca","modelo","nome","descricao","tem_pdf","pdf_url"
"37","Colhedora de Algodão","JOHN DEERE","CP690","GUIA DE REFERÊNCIA RÁPIDA DA COLHEDORA DE ALGODÃO JOHN DEERE CP690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195afb4-0ac6-78a8-8d11-acccc0d6a2d0/019dab6a-a36a-7d8c-9391-0d0c480a0adc.pdf"
"38","Colhedora de Algodão","JOHN DEERE","CP690","Guia de reposição de peças Colhedora de Algodão CP690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195afb4-0ac6-78a8-8d11-acccc0d6a2d0/019dab3e-4e82-7154-a6dd-ed8a0826ed03.pdf"
"39","Colhedora de Algodão","JOHN DEERE","CP690","GUIA DO SISTEMA DE DESCARGA DA COLHEDORA JOHN DEERE CP690 - CS690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195afb4-0ac6-78a8-8d11-acccc0d6a2d0/019dab5e-6fdd-7a28-89d0-4d44e560dc45.pdf"
"40","Colhedora de Algodão","JOHN DEERE","CP690","INSTRUÇÕES DE INSTALAÇÃO CHICOTE ELÉTRICO DA CAMERA DO MONITOR 4640 - COLHEDORA DE ALGODÃO - CP690 - CS690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195afb4-0ac6-78a8-8d11-acccc0d6a2d0/019dab3e-4eab-7ea4-a87a-2110f79a8af6.pdf"
"41","Colhedora de Algodão","JOHN DEERE","CP690","Manual de diagnóstico Colhedora de algodão CP690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195afb4-0ac6-78a8-8d11-acccc0d6a2d0/019dab3e-4f3d-77c2-9a49-7ea391aec111.pdf"
"42","Colhedora de Algodão","JOHN DEERE","CP690","Manual de diagnostico Colhedora John deere - CP690-JOHN-DEERE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195afb4-0ac6-78a8-8d11-acccc0d6a2d0/019dab40-391c-79f6-b5a5-cbc16c8632ae.pdf"
"43","Colhedora de Algodão","JOHN DEERE","CP690","Manual Do-Operador Colhedora-de-Algodao John deere -CP690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195afb4-0ac6-78a8-8d11-acccc0d6a2d0/019dab40-3ed3-7bd6-875e-4c3af604fd20.pdf"
"44","Colhedora de Algodão","JOHN DEERE","CP690","MANUAL DO OPERADOR DA COLHEDORA DE ALGODÃO JOHN DEERE CP690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195afb4-0ac6-78a8-8d11-acccc0d6a2d0/019dab40-3c23-7358-abf0-9591a9a92627.pdf"
"45","Colhedora de Algodão","JOHN DEERE","CP690","Manual técnico de Reparo-Da Colhedora de-Algodao John deere -CP690","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195afb4-0ac6-78a8-8d11-acccc0d6a2d0/019dab40-40e1-739c-b417-5a00cc02b7b6.pdf"
"46","Colhedora de Algodão","JOHN DEERE","CP770","CATALOGO DE PEÇAS COLHEDORA DE ALGODÃO JOHN DEERE - CP770 - INGLÊS","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0195b3ba-39a7-75e2-9afd-0e4fb6f46f8e/019dab41-57a0-73a9-8467-40333d47677e.pdf"
