"marca","modelo","escopo","tipo_documento","pasta_sugerida","idioma_sugerido","nome_arquivo","caminho_zip","tamanho_bytes","compactado_bytes","status_validacao","observacao"
"VALTRA","A74","modelo","manual_complementar","08_manual_complementar","PT","MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A74/MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","56623982","50989796","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A74","modelo","manual_operador","01_manual_operador","PT","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A74/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","35105049","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A74s","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A74s/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A74s","modelo","ficha_tecnica_folheto","07_ficha_tecnica_folheto","PT","FOLHETO SOBRE POTÊNCIA E VERSATILIDADE TRATORES VALTRA SÉRIE A4 E A4S.pdf","TRATORES AGRICOLAS VALTRA 2/A74s/FOLHETO SOBRE POTÊNCIA E VERSATILIDADE TRATORES VALTRA SÉRIE A4 E A4S.pdf","2775219","2435088","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A74s","modelo","manual_manutencao","04_manual_manutencao","PT","MANUTENÇÃO PERIÓDICA TRATORES VALTRA A4S.pdf","TRATORES AGRICOLAS VALTRA 2/A74s/MANUTENÇÃO PERIÓDICA TRATORES VALTRA A4S.pdf","1217771","1110927","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A74s","modelo","manual_operador","01_manual_operador","PT","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A74s/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","35105049","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A74s","modelo","manual_servico_oficina","02_manual_servico_oficina","PT","MANUAL DE SERVIÇO DOS TRATORES VALTRA SERIE A4S - A74S A84S A94S.pdf","TRATORES AGRICOLAS VALTRA 2/A74s/MANUAL DE SERVIÇO DOS TRATORES VALTRA SERIE A4S - A74S A84S A94S.pdf","1761545","1727357","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A74SC","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A74SC/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A74SC","modelo","manual_operador","01_manual_operador","PT","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A74SC/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","35105049","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A750","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A750/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A750","modelo","manual_operador","01_manual_operador","PT","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A750/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","35105049","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A83F","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A83F/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A83F","modelo","manual_operador","01_manual_operador","PT","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A83F/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","35105049","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A83F","modelo","manual_operador","01_manual_operador","PT","MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","TRATORES AGRICOLAS VALTRA 2/A83F/MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","688087","659611","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A83F","modelo","manual_operador","01_manual_operador","ES","MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","TRATORES AGRICOLAS VALTRA 2/A83F/MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","5533757","5231600","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A84","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A84/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A84","modelo","manual_operador","01_manual_operador","PT","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A84/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","35105049","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A84s","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A84s/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A84s","modelo","ficha_tecnica_folheto","07_ficha_tecnica_folheto","PT","FOLHETO SOBRE POTÊNCIA E VERSATILIDADE TRATORES VALTRA SÉRIE A4 E A4S.pdf","TRATORES AGRICOLAS VALTRA 2/A84s/FOLHETO SOBRE POTÊNCIA E VERSATILIDADE TRATORES VALTRA SÉRIE A4 E A4S.pdf","2775219","2435088","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A84s","modelo","manual_manutencao","04_manual_manutencao","PT","MANUTENÇÃO PERIÓDICA TRATORES VALTRA A4S.pdf","TRATORES AGRICOLAS VALTRA 2/A84s/MANUTENÇÃO PERIÓDICA TRATORES VALTRA A4S.pdf","1217771","1110927","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A84s","modelo","manual_operador","01_manual_operador","PT","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A84s/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","35105049","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A84s","modelo","manual_servico_oficina","02_manual_servico_oficina","PT","MANUAL DE SERVIÇO DOS TRATORES VALTRA SERIE A4S - A74S A84S A94S.pdf","TRATORES AGRICOLAS VALTRA 2/A84s/MANUAL DE SERVIÇO DOS TRATORES VALTRA SERIE A4S - A74S A84S A94S.pdf","1761545","1727357","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A850F","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A850F/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A850F","modelo","ficha_tecnica_folheto","07_ficha_tecnica_folheto","PT","ESPECIFICAÇÕES DO TRATOR VALTRA A850F.pdf","TRATORES AGRICOLAS VALTRA 2/A850F/ESPECIFICAÇÕES DO TRATOR VALTRA A850F.pdf","273169","226949","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A850F","modelo","manual_operador","01_manual_operador","PT","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A850F/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","35105049","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A93F","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A93F/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A93F","modelo","manual_operador","01_manual_operador","PT","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A93F/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","35105049","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A93F","modelo","manual_operador","01_manual_operador","PT","MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","TRATORES AGRICOLAS VALTRA 2/A93F/MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","688087","659611","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A93F","modelo","manual_operador","01_manual_operador","ES","MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","TRATORES AGRICOLAS VALTRA 2/A93F/MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","5533757","5231600","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A94","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A94/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A94","modelo","ficha_tecnica_folheto","07_ficha_tecnica_folheto","PT","FOLHETO DOS TRATORES AGRICOLAS A94 E A104.pdf","TRATORES AGRICOLAS VALTRA 2/A94/FOLHETO DOS TRATORES AGRICOLAS A94 E A104.pdf","1445622","1248145","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A94","modelo","ficha_tecnica_folheto","07_ficha_tecnica_folheto","PT","FOLHETO SOBRE POTÊNCIA E VERSATILIDADE TRATORES VALTRA SÉRIE A4 E A4S.pdf","TRATORES AGRICOLAS VALTRA 2/A94/FOLHETO SOBRE POTÊNCIA E VERSATILIDADE TRATORES VALTRA SÉRIE A4 E A4S.pdf","2775219","2435088","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A94","modelo","manual_complementar","08_manual_complementar","PT","MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A94/MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","56623982","50989796","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A94","modelo","manual_manutencao","04_manual_manutencao","PT","MANUTENÇÃO PERIÓDICA TRATORES VALTRA A4 E BH G2.pdf","TRATORES AGRICOLAS VALTRA 2/A94/MANUTENÇÃO PERIÓDICA TRATORES VALTRA A4 E BH G2.pdf","4584440","4335804","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A94","modelo","manual_operador","01_manual_operador","PT","MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","TRATORES AGRICOLAS VALTRA 2/A94/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","35105049","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A94S","modelo","catalogo_pecas","03_catalogo_pecas","PT","CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","TRATORES AGRICOLAS VALTRA 2/A94S/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","3058480","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
"VALTRA","A94S","modelo","ficha_tecnica_folheto","07_ficha_tecnica_folheto","PT","FOLHETO SOBRE POTÊNCIA E VERSATILIDADE TRATORES VALTRA SÉRIE A4 E A4S.pdf","TRATORES AGRICOLAS VALTRA 2/A94S/FOLHETO SOBRE POTÊNCIA E VERSATILIDADE TRATORES VALTRA SÉRIE A4 E A4S.pdf","2775219","2435088","candidato_por_pasta_usuario","Documento estava dentro da pasta do modelo no ZIP do usuario."
