"action","marca","modelo","tipo_documento","source","destination","bytes","status","observacao"
"copy","VALTRA","A144","manual_operador","TRATORES AGRICOLAS VALTRA 2/A144/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A144L","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A144L/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144L\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A144L","manual_operador","TRATORES AGRICOLAS VALTRA 2/A144L/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144L\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A144LC","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A144LC/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144LC\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A144LC","manual_complementar","TRATORES AGRICOLAS VALTRA 2/A144LC/MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144LC\08_manual_complementar\MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","56623982","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A144LC","manual_operador","TRATORES AGRICOLAS VALTRA 2/A144LC/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A144LC\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A145","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A145/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A145\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A145","ficha_tecnica_folheto","TRATORES AGRICOLAS VALTRA 2/A145/FOLHETO DOS TRATORES AGRICOLAS A5.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A145\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A5.pdf","2378539","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A145","manual_operador","TRATORES AGRICOLAS VALTRA 2/A145/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A145\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A145 HiTech","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A145 HiTech/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A145 HiTech\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A145 HiTech","ficha_tecnica_folheto","TRATORES AGRICOLAS VALTRA 2/A145 HiTech/FOLHETO DOS TRATORES AGRICOLAS A5 HITECH.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A145 HiTech\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A5 HITECH.pdf","240866","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A145 HiTech","manual_operador","TRATORES AGRICOLAS VALTRA 2/A145 HiTech/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A145 HiTech\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A52s","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A52s/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A52s\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A52s","ficha_tecnica_folheto","TRATORES AGRICOLAS VALTRA 2/A52s/FOLHETO DOS TRATORES AGRICOLAS A2s.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A52s\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A2s.pdf","2635207","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A52s","manual_operador","TRATORES AGRICOLAS VALTRA 2/A52s/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A52s\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A550","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A550/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A550\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A550","ficha_tecnica_folheto","TRATORES AGRICOLAS VALTRA 2/A550/FOLHETO COM  INFORMAÇÕES SOBRE ECONOMIA DE COMBUSTÍVEL, CONFORTO, VERSATILIDADE E TECNOLOGIA AVANÇADA DE TODOS TRATORES VALTRA..pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A550\07_ficha_tecnica_folheto\FOLHETO COM INFORMAÇÕES SOBRE ECONOMIA DE COMBUSTÍVEL, CONFORTO, VERSATILIDADE E TECNOLOGIA AVANÇADA DE TODOS TRATORES VALTRA..pdf","189856864","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A550","manual_complementar","TRATORES AGRICOLAS VALTRA 2/A550/MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A550\08_manual_complementar\MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","56623982","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A550","manual_operador","TRATORES AGRICOLAS VALTRA 2/A550/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A550\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A62s","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A62s/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A62s\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A62s","ficha_tecnica_folheto","TRATORES AGRICOLAS VALTRA 2/A62s/FOLHETO DOS TRATORES AGRICOLAS A2s.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A62s\07_ficha_tecnica_folheto\FOLHETO DOS TRATORES AGRICOLAS A2s.pdf","2635207","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A62s","manual_operador","TRATORES AGRICOLAS VALTRA 2/A62s/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A62s\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A63F","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A63F/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A63F\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A63F","manual_operador","TRATORES AGRICOLAS VALTRA 2/A63F/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A63F\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A63F","manual_operador","TRATORES AGRICOLAS VALTRA 2/A63F/MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A63F\01_manual_operador\MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","688087","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A63F","manual_operador","TRATORES AGRICOLAS VALTRA 2/A63F/MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A63F\01_manual_operador\MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","5533757","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A73F","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A73F/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A73F\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A73F","manual_operador","TRATORES AGRICOLAS VALTRA 2/A73F/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A73F\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A73F","manual_operador","TRATORES AGRICOLAS VALTRA 2/A73F/MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A73F\01_manual_operador\MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","688087","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A73F","manual_operador","TRATORES AGRICOLAS VALTRA 2/A73F/MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A73F\01_manual_operador\MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","5533757","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A74","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A74/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A74\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A74","manual_complementar","TRATORES AGRICOLAS VALTRA 2/A74/MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A74\08_manual_complementar\MANUAL COM INSTRUÇÕES PARA TRATORES VALTRA.pdf","56623982","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A74","manual_operador","TRATORES AGRICOLAS VALTRA 2/A74/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A74\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A74s","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A74s/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A74s\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A74s","ficha_tecnica_folheto","TRATORES AGRICOLAS VALTRA 2/A74s/FOLHETO SOBRE POTÊNCIA E VERSATILIDADE TRATORES VALTRA SÉRIE A4 E A4S.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A74s\07_ficha_tecnica_folheto\FOLHETO SOBRE POTÊNCIA E VERSATILIDADE TRATORES VALTRA SÉRIE A4 E A4S.pdf","2775219","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A74s","manual_manutencao","TRATORES AGRICOLAS VALTRA 2/A74s/MANUTENÇÃO PERIÓDICA TRATORES VALTRA A4S.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A74s\04_manual_manutencao\MANUTENÇÃO PERIÓDICA TRATORES VALTRA A4S.pdf","1217771","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A74s","manual_operador","TRATORES AGRICOLAS VALTRA 2/A74s/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A74s\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A74s","manual_servico_oficina","TRATORES AGRICOLAS VALTRA 2/A74s/MANUAL DE SERVIÇO DOS TRATORES VALTRA SERIE A4S - A74S A84S A94S.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A74s\02_manual_servico_oficina\MANUAL DE SERVIÇO DOS TRATORES VALTRA SERIE A4S - A74S A84S A94S.pdf","1761545","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A74SC","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A74SC/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A74SC\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A74SC","manual_operador","TRATORES AGRICOLAS VALTRA 2/A74SC/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A74SC\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A750","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A750/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A750\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A750","manual_operador","TRATORES AGRICOLAS VALTRA 2/A750/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A750\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A83F","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A83F/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A83F\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A83F","manual_operador","TRATORES AGRICOLAS VALTRA 2/A83F/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A83F\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A83F","manual_operador","TRATORES AGRICOLAS VALTRA 2/A83F/MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A83F\01_manual_operador\MANUAL DO OPERADOR TRATOR VALTRA A3F.pdf","688087","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A83F","manual_operador","TRATORES AGRICOLAS VALTRA 2/A83F/MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A83F\01_manual_operador\MANUAL DO OPERADOR TRATOR VALTRA SERIE A3F EM ESPANHOL.pdf","5533757","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A84","catalogo_pecas","TRATORES AGRICOLAS VALTRA 2/A84/CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A84\03_catalogo_pecas\CATALOGO DE PEÇAS DOS TRATORES VALTRA-VALMET.pdf","5137991","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
"copy","VALTRA","A84","manual_operador","TRATORES AGRICOLAS VALTRA 2/A84/MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","E:\MANUAIS_APPMAQ\Trator Agricola\VALTRA\A84\01_manual_operador\MANUAL COM INSTRUÇÕES SOBRE OPERAÇÃO, MANUTENÇÃO E SEGURANÇA PARA TRATORES VALTRA.pdf","36212149","copy","Documento estava dentro da pasta do modelo no ZIP do usuario."
